Филиал;План eNPS 2025;Факт eNPS 2025;Выполнение плана 2025
Алтайский филиал;29,9;50,5;69%
Амурский филиал;37,9;31,5;-17%
Архангельский филиал;48,9;62,3;27%
Астраханский филиал;51,2;46;-10%
Белгородский филиал;59,6;58,5;-2%
Бурятский филиал;27;39;44%
Волгоградский филиал;45,8;50,1;9%
Вологодский филиал;60,3;68,9;14%
Воронежский филиал;62,8;67,3;7%
Дагестанский филиал;42;79,1;88%
Екатеринбургский филиал;66,2;50,4;-24%
Ингушский филиал;74,3;65,8;-11%
Иркутский филиал;45,3;38,6;-15%
Кабардино-Балкарский филиал;55,8;64,1;15%
Калининградский филиал;49,6;89,3;80%
Калмыцкий филиал;57,9;69,4;20%
Калужский филиал;69,6;65,1;-6%
Камчатский филиал;16,5;56,9;245%
Карельский филиал;35,2;46,5;32%
Кемеровский филиал;32,2;41,9;30%
Кировский филиал;43,3;58,5;35%
Коми филиал;49,5;57,3;16%
Корпоративный центр;48;48;0%
Краснодарский филиал;17,3;38,5;123%
Красноярский филиал;39;42,2;8%
Курский филиал;45,7;53,6;17%
Липецкий филиал;44,6;49,5;11%
Магаданский филиал;53,3;75,7;42%
"Макрорегиональный филиал ""Северо-Запад""";60,3;52,9;-12%
"Макрорегиональный филиал ""Центр""";24,9;47,9;92%
Мурманский филиал;16,2;49,1;203%
Нижегородский филиал;23,6;38;61%
Новосибирский филиал;46,6;52;12%
Омский филиал;35,2;35,3;0%
Оренбургский филиал;42,7;48,9;15%
Пензенский филиал;74,6;58;-22%
Пермский филиал;44,4;47,9;8%
Приморский филиал;43,1;36,5;-15%
Ростовский филиал;33;45,5;38%
Самарский филиал;45,8;57,5;26%
Саратовский филиал;30,1;43,7;45%
Сахалинский филиал;98,2;81,2;-17%
Северо-Осетинский филиал;32,5;44,3;36%
Смоленский филиал;56,7;63,8;13%
Ставропольский филиал;46,7;55,9;20%
Тамбовский филиал;35,3;42,3;20%
Тверской филиал;58,2;54,6;-6%
Томский филиал;39,7;46,4;17%
Ульяновский филиал;42;61,4;46%
УПЦ;0;0;0
Филиал в Брянской и Орловской областях;54,2;55,9;3%
Филиал в Новгородской и Псковской областях;77,1;67,2;-13%
Филиал в Республике Марий Эл;44,8;55,7;24%
Филиал в Республике Мордовия;27,3;31,1;14%
Филиал в Республике Татарстан;53,5;56,7;6%
Филиал в Тульской и Рязанской областях;18,1;40,2;122%
Филиал в Тюменской и Курганской областях;5,9;68,1;1054%
Филиал в Удмуртской Республике;47;53,5;14%
Филиал в Чувашской Республике;51,2;49,8;-3%
Филиал в Ярославской и Костромской областях;45,9;36,1;-21%
Филиал во Владимирской и Ивановской областях;25,1;52,8;110%
Филиал ОЦО;61;65,7;8%
Филиал Сахателеком;5,1;67,3;1220%
Хабаровский филиал;7,6;6;-21%
Ханты-Мансийский филиал;45,5;48;5%
Челябинский филиал;25,4;42;65%
Ямало-Ненецкий филиал;46,1;49,5;7%
